driverId,driverRef,driverStandingsId,raceId,points,position,wins,year,circuitId,name,time
8,raikkonen,68891,1001,146.0,3,0,2018,13,Belgian Grand Prix,13:10:00
8,raikkonen,68951,1002,164.0,3,0,2018,14,Italian Grand Prix,13:10:00
8,raikkonen,68971,1003,174.0,3,0,2018,15,Singapore Grand Prix,12:10:00
8,raikkonen,68991,1004,186.0,4,0,2018,71,Russian Grand Prix,11:10:00
8,raikkonen,69011,1005,196.0,4,0,2018,22,Japanese Grand Prix,05:10:00
8,raikkonen,69051,1006,221.0,3,1,2018,69,United States Grand Prix,18:10:00
8,raikkonen,69071,1007,236.0,3,1,2018,32,Mexican Grand Prix,19:10:00
8,raikkonen,69091,1008,251.0,3,1,2018,18,Brazilian Grand Prix,17:10:00
8,raikkonen,69111,1009,251.0,3,1,2018,24,Abu Dhabi Grand Prix,13:10:00
8,raikkonen,69756,1010,4.0,8,0,2019,1,Australian Grand Prix,05:10:00
8,raikkonen,69216,1011,10.0,6,0,2019,3,Bahrain Grand Prix,15:10:00
8,raikkonen,69236,1012,12.0,7,0,2019,17,Chinese Grand Prix,06:10:00
8,raikkonen,69256,1013,13.0,8,0,2019,73,Azerbaijan Grand Prix,12:10:00
8,raikkonen,69296,1014,13.0,9,0,2019,4,Spanish Grand Prix,13:10:00
8,raikkonen,69316,1015,13.0,10,0,2019,6,Monaco Grand Prix,13:10:00
8,raikkonen,69336,1016,13.0,11,0,2019,7,Canadian Grand Prix,18:10:00
8,raikkonen,69416,1017,19.0,8,0,2019,34,French Grand Prix,13:10:00
8,raikkonen,69436,1018,21.0,9,0,2019,70,Austrian Grand Prix,13:10:00
8,raikkonen,69456,1019,25.0,8,0,2019,9,British Grand Prix,13:10:00
8,raikkonen,69496,1020,25.0,9,0,2019,10,German Grand Prix,13:10:00
8,raikkonen,69516,1021,31.0,8,0,2019,11,Hungarian Grand Prix,13:10:00
8,raikkonen,69536,1022,31.0,9,0,2019,13,Belgian Grand Prix,13:10:00
8,raikkonen,69556,1023,31.0,12,0,2019,14,Italian Grand Prix,13:10:00
8,raikkonen,69576,1024,31.0,13,0,2019,15,Singapore Grand Prix,12:10:00
8,raikkonen,69596,1025,31.0,14,0,2019,71,Russian Grand Prix,11:10:00
8,raikkonen,69656,1026,31.0,14,0,2019,22,Japanese Grand Prix,05:10:00
8,raikkonen,69676,1027,31.0,14,0,2019,32,Mexican Grand Prix,19:10:00
8,raikkonen,69696,1028,31.0,14,0,2019,69,United States Grand Prix,19:10:00
8,raikkonen,69716,1029,43.0,12,0,2019,18,Brazilian Grand Prix,17:10:00
8,raikkonen,69736,1030,43.0,12,0,2019,24,Abu Dhabi Grand Prix,13:10:00
8,raikkonen,69882,1034,0.0,18,0,2020,9,British Grand Prix,13:10:00
8,raikkonen,70008,1031,0.0,14,0,2020,70,Austrian Grand Prix,13:10:00
8,raikkonen,69822,1032,0.0,17,0,2020,70,Styrian Grand Prix,13:10:00
8,raikkonen,69862,1033,0.0,17,0,2020,11,Hungarian Grand Prix,13:10:00
8,raikkonen,69903,1035,0.0,18,0,2020,9,70th Anniversary Grand Prix,13:10:00
8,raikkonen,69924,1036,0.0,18,0,2020,4,Spanish Grand Prix,13:10:00
8,raikkonen,69945,1037,0.0,18,0,2020,13,Belgian Grand Prix,13:10:00
8,raikkonen,69966,1038,0.0,19,0,2020,14,Italian Grand Prix,13:10:00
8,raikkonen,69987,1039,2.0,16,0,2020,76,Tuscan Grand Prix,13:10:00
8,raikkonen,70028,1040,2.0,16,0,2020,71,Russian Grand Prix,11:10:00
8,raikkonen,70049,1041,2.0,17,0,2020,20,Eifel Grand Prix,13:10:00
8,raikkonen,70070,1042,2.0,17,0,2020,75,Portuguese Grand Prix,12:10:00
8,raikkonen,70091,1043,4.0,16,0,2020,21,Emilia Romagna Grand Prix,12:10:00
