name;Year;AirTemp;Humidity;Pressure;Rainfall;TrackTemp;WindDirection;WindSpeed;Round Number;raceId;round;circuitId;date;time;driverStandingsId;driverId;points;wins;driverRef
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71632;825;22.0;0;kevin_magnussen
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71633;822;46.0;0;bottas
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71634;839;66.0;0;ocon
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71635;852;11.0;0;tsunoda
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71636;4;59.0;0;alonso
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71637;855;6.0;0;zhou
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71639;840;13.0;0;stroll
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71640;848;4.0;0;albon
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71641;817;29.0;0;ricciardo
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71642;846;100.0;0;norris
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71644;807;0.0;0;hulkenberg
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71645;815;235.0;2;perez
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71646;830;341.0;11;max_verstappen
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1091;17;15;02/10/2022;12:00:00;71647;842;23.0;0;gasly
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72276;830;374.0;0;max_verstappen
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72277;815;223.0;0;perez
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72278;4;170.0;0;alonso
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72279;832;142.0;0;sainz
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72280;1;180.0;0;hamilton
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72281;840;47.0;0;stroll
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72282;847;109.0;0;russell
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72283;822;6.0;0;bottas
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72284;842;45.0;0;gasly
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72285;848;21.0;0;albon
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72286;852;3.0;0;tsunoda
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72287;858;0.0;0;sargeant
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72288;825;3.0;0;kevin_magnussen
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72290;807;9.0;0;hulkenberg
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72291;855;4.0;1;zhou
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72292;846;97.0;0;norris
Singapore Grand Prix;2019;29.965161290322584;66.45548387096774;1010.941935483871;0.0;35.75290322580645;166.88387096774193;1.8574193548387092;15.0;1113;15;15;17/09/2023;12:00:00;72293;839;36.0;2;ocon
